,slang_words
879,update
880,seharus
881,nya
882,makij
883,fhoto
884,stnk
885,ribet
886,yg
887,skrang
888,yg
889,galery
890,ndak
891,lh
892,persulit
893,nybuat
894,unduh
895,filenya
896,diilangin
897,gak
898,ad
899,yg
900,gak
901,zoom
902,in
903,out
904,subsidiaplikasi
905,ngestuck
906,ga
907,pembayarannya
908,yg
909,hadeh
910,hilangin
911,dri
912,playstoresetalah
913,database
914,solusinya
915,pertamina
916,apk
917,ga
918,smuanyasaat
919,password
920,claim
921,barcode
922,my
923,pertamina
924,diminta
925,password
926,claim
927,barcode
928,dirubahcoba
929,spbu
930,nya
931,pastiin
932,nya
933,my
934,pertamina
935,gunainnya
936,pastiin
937,spbu
938,udah
939,aplikasisaat
940,tdk
941,bisaketerangan
942,dr
943,spbu
944,barcode
945,gimana
946,hp
947,pasword
948,yg
949,web
950,my
951,pertamina
952,dr
953,hp
954,dgn
955,barcode
956,yg
957,my
958,pertamina
959,hp
960,perbaiki
961,pekerjaaan
962,tergangguribet
963,barcode
964,qr
965,berkali
966,terusaplikasi
967,barcode
968,nya
969,copy
970,buktinya
971,bbm
972,khususnya
973,biosolar
974,isinya
975,aliasuntuk
976,kendraan
977,nya
978,yg
979,sebelumnyasangat
980,dengat
981,sekarangverifikasi
982,kasihaplikasi
983,upload
984,cmn
985,sistemnya
986,yg
987,awammengecewakan
988,stnk
989,udah
990,minggu
991,ditolak
992,perbaiki
993,inisudah
994,manfaatnya
995,melayani
996,mypertamima
997,penggunanyagak
998,login
999,apps
1000,ngbug
1001,gak
1002,gw
1003,klo
1004,gak
1005,digunakan
1006,gemink
1007,lahaplikasi
1008,ga
1009,password
1010,claim
1011,jemmbot
1012,blur
1013,ribet
1014,simple
1015,parahsetiap
1016,pertalitbbm
1017,scan
1018,barcode
1019,point
1020,nya
1021,gmn
1022,melihat
1023,pointseperti
1024,gak
1025,scan
1026,barkodesaya
1027,spbu
1028,yg
1029,ga
1030,may
1031,pertamina
1032,may
1033,pertamina
1034,spbu
1035,may
1036,pertaminamobil
1037,daftarin
1038,udah
1039,ga
1040,barkot
1041,nya
1042,perbaikibanyak
1043,seponsornya
1044,mengganggu
1045,fitur
1046,qr
1047,qr
1048,bumn
1049,mestinya
1050,kemudahankamera
1051,nya
1052,d
1053,perbaiki
1054,mkin
1055,mlah
1056,mkin
1057,nya
1058,bkn
1059,smua
1060,pke
1061,ginian
1062,klo
1063,ribet
1064,gini
1065,update
1066,nya
1067,yg
1068,yg
1069,d
1070,temukan
1071,base
1072,d
1073,lngsung
1074,nya
1075,respon
1076,nya
1077,subsidibaru
1078,dowload
1079,bsa
1080,pertalite
1081,dri
1082,nya
1083,mw
1084,nambah
1085,mlah
1086,dipersulit
1087,yg
1088,gk
1089,ny
1090,pake
1091,drigen
1092,tpi
1093,pertaliteuntuk
1094,yg
1095,pake
1096,hasilnya
1097,perbaiki
1098,karna
1099,gx
1100,akkan
1101,gitungisi
1102,gak
1103,dapet
1104,anehini
1105,diperpaiki
1106,stnk
1107,ngeblur
1108,apknya
1109,diperbaiki
1110,obsi
1111,imput
1112,galeritolong
1113,perbaiki
1114,nya
1115,aktivasi
1116,link
1117,error
1118,blengkecepatan
1119,mobile
1120,depannya
1121,perbaikisetelah
1122,qr
1123,barcode
1124,nopol
1125,gimana
1126,caranyaparah
1127,nya
1128,ngambil
1129,password
1130,claim
1131,kaga
1132,udah
1133,bener
1134,password
1135,claim
1136,nya
1137,reset
1138,password
1139,claim
1140,kaga
1141,apk
1142,nyaaplikasi
1143,bumn
1144,yg
1145,cuan
1146,nya
1147,bermasalah
1148,karna
1149,tdk
1150,bs
1151,terhubung
1152,dgn
1153,linkaja
1154,ledaran
1155,x
1156,hadeuhversi
1157,sebelumnyafitur
1158,outlet
1159,voucher
1160,my
1161,pertamina
1162,spbu
1163,xxxx
1164,spbu
1165,nya
1166,menginput
1167,voucher
1168,kasihfoto
1169,stnk
1170,blur
1171,kepotong
1172,kahsemakin
1173,membingung
1174,korlantas
1175,verifikasinya
1176,penolakanopsi
1177,stnk
1178,admin
1179,kameranya
1180,blurr
1181,handphonebaru
1182,download
1183,resset
1184,ngk
1185,maunya
1186,gimana
1187,inipin
1188,masukkan
1189,reset
1190,lakukan
1191,kedepan
1192,nya
1193,sortirr
1194,enginer
1195,yg
1196,berpengalamanini
1197,emailnya
1198,ga
1199,verikasi
1200,emailnya
1201,ga
1202,persulit
1203,nunggu
1204,ga
1205,jadinyamau
1206,disusahinmakin
1207,kesini
1208,ribetyg
1209,nopol
1210,terbacayg
1211,tdk
1212,bisafoto
1213,tdk
1214,terbacaaplikasi
1215,ribet
1216,telalu
1217,pasword
1218,kofe
1219,verivikasi
1220,error
1221,maksa
1222,bgt
1223,apknyabikin
1224,tp
1225,blm
1226,spbu
1227,msh
1228,bnyak
1229,yg
1230,blng
1231,ga
1232,bsacma
1233,pertamax
1234,lahtolong
1235,sempurnakan
1236,my
1237,pertaminanyabiar
1238,spbupengaduan
1239,chat
1240,or
1241,call
1242,solusinopol
1243,digunakan
1244,sy
1245,tdk
1246,daftaraplikasi
1247,babingunuplod
1248,ditambah
1249,tolonglah
1250,dimudahkan
1251,barcode
1252,bbm
1253,subsidiapp
1254,nya
1255,lemotsering
1256,error
1257,gak
1258,gunakanmesti
1259,masukaplikasi
1260,lemot
1261,otp
1262,hp
1263,otp
1264,udah
1265,semuasebenarnya
1266,cepet
1267,bertransaksi
1268,nyatanya
1269,ribet
1270,pakenyayg
1271,platlahisi
1272,scan
1273,barcode
1274,lgi
1275,keribetan
1276,nya
1277,gk
1278,gitu
1279,pengen
1280,ny
1281,cepet
1282,menyusahkanaplikasinya
1283,masukkan
1284,otp
1285,dg
1286,anehdaftar
1287,skrang
1288,dipersulit
1289,yg
1290,barcode
1291,perbaharui
1292,susahwajib
1293,dibaca
1294,instal
1295,nya
1296,nyusahin
1297,ngebuat
1298,gak
1299,digeser
1300,kebawah
1301,dibalikin
1302,spbu
1303,dimasukin
1304,datanya
1305,adaudah
1306,regisgiliran
1307,udh
1308,dpt
1309,barcode
1310,kgk
1311,kepake
1312,skrg
1313,ampuun
1314,dahhaplikasi
1315,yg
1316,nonik
1317,yg
1318,yg
1319,ginianselalu
1320,input
1321,dataapk
1322,nya
1323,udah
1324,pertamanya
1325,ribet
1326,sy
1327,apk
1328,launching
1329,kurangnya
1330,update
1331,plis
1332,jgn
1333,keseringan
1334,update
1335,klo
1336,update
1337,krn
1338,ga
1339,user
1340,aktifin
1341,fitur
1342,update
1343,hp
1344,nya
1345,ga
1346,user
1347,apk
1348,klo
1349,ga
1350,dipake
1351,gitu
1352,trimsapa
1353,yg
1354,katrok
1355,aplikasinya
1356,yg
1357,masukin
1358,dataselalu
1359,salahmaunya
1360,cepet
1361,sulitiya
1362,yg
1363,ribet
1364,ngapain
1365,dipermudahtolong
1366,app
1367,d
1368,fix
1369,jgn
1370,update
1371,muluupdate
1372,scurity
1373,gpp
1374,tp
1375,ber
1376,mb
1377,donlodnya
1378,antrian
1379,mlh
1380,update
1381,kasian
1382,yg
1383,antri
1384,update
1385,pairing
1386,link
1387,d
1388,my
1389,pertamina
1390,ujungnya
1391,pake
1392,link
1393,udah
1394,bener
1395,segede
1396,gaban
1397,ngangu
1398,yg
1399,app
1400,antri
1401,trus
1402,pake
1403,appnya
1404,antrimaunya
1405,setujui
1406,ngambil
1407,qr
1408,code
1409,temukan
1410,deveploper
1411,ditingkatkan
1412,kualitasnya
1413,klok
1414,sistemnya
1415,ngapain
1416,persulit
1417,my
1418,pertamina
1419,tingkatkan
1420,anda
1421,yg
1422,ngak
1423,ribet
1424,ngak
1425,benerparah
1426,digunakan
1427,udah
1428,ikuti
1429,upload
1430,bpkb
1431,nunggu
1432,tetep
1433,gak
1434,digunakandaftar
1435,nya
1436,update
1437,nya
1438,payahdancok
1439,dipencet
1440,gak
1441,kekirim
1442,login
1443,mypertamina
1444,nggak
1445,gmailaplikasi
1446,user
1447,th
1448,nompol
1449,update
1450,update
1451,login
1452,tidal
1453,hp
1454,admin
1455,mypertamina
1456,barcode
1457,spbu
1458,barcode
1459,cash
1460,bbmberkali
1461,dimasukkan
1462,bisakalo
1463,linkaja
1464,sebulan
1465,ga
1466,dipake
1467,uangnya
1468,dipotong
1469,bumntolong
1470,aplikasinya
1471,diperbaiki
1472,ditolak
1473,stnk
1474,upload
1475,apkpertama
1476,nyobain
1477,gimana
1478,yaps
1479,gak
1480,prosesnya
1481,udah
1482,scan
1483,qr
1484,sebelumnya
1485,spbu
1486,jawabannya
1487,ngisi
1488,disini
1489,mikir
1490,kayanya
1491,pake
1492,trus
1493,petugasnya
1494,mikir
1495,lgi
1496,kayanya
1497,gak
1498,emangpayah
1499,akhhh
1500,fitur
1501,editganti
1502,dsb
1503,gak
1504,pertamina
1505,dlm
1506,lemot
1507,diperbaiki
1508,ditingkatkan
1509,diperbagus
1510,aplikasinya
1511,ditindak
1512,lanjuti
1513,tambahkan
1514,ewallet
1515,ewallet
1516,linkaja
1517,yg
1518,tersediatidak
1519,stnkselalu
1520,blurtolong
1521,diperbaiki
1522,lagipercuma
1523,disuruh
1524,amplikasi
1525,ga
1526,digunakankalau
1527,stnk
1528,diambil
1529,galeryaplikasi
1530,linkaja
1531,linkaja
1532,dialihkan
1533,provider
1534,ewallet
1535,baikngaco
1536,nunggu
1537,bangeetttt
1538,ditambah
1539,katanya
1540,disuruh
1541,login
1542,login
1543,lol
1544,gimana
1545,ceritanya
1546,cobasaya
1547,sdh
1548,download
1549,inibuat
1550,dptin
1551,bsrcode
1552,skrg
1553,dikasih
1554,emailkatanya
1555,dpt
1556,barcode
1557,apk
1558,sekarangsya
1559,download
1560,dri
1561,dianjurkan
1562,pake
1563,barcodesekarang
1564,dimedsos
1565,barcode
1566,ktpgmn
1567,pake
1568,org
1569,lainsekelas
1570,pertamina
1571,pinjolparahbumn
1572,ga
1573,becusaku
1574,ngulas
1575,dibuat
1576,dr
1577,satupun
1578,ditanggapi
1579,uninstal
1580,diupdate
1581,hasilnya
1582,pertamina
1583,aplikasinyaaplikasi
1584,membawa
1585,cash
1586,sayangnya
1587,bbm
1588,spbu
1589,erormesinnya
1590,spbu
1591,aplikasiaplikasi
1592,ribet
1593,bangetterlalu
1594,awalharus
1595,ngisi
1596,awaldahhh
1597,pokoknya
1598,ribet
1599,bangetaplikasi
1600,gak
1601,udah
1602,barcode
1603,ditolak
1604,ngisi
1605,barcodesangat
1606,spbu
1607,gguan
1608,gak
1609,nya
1610,gak
1611,ne
1612,yg
1613,make
1614,ne
1615,apk
1616,simple
1617,gak
1618,ribet
1619,ngntri
1620,trllu
1621,bnyak
1622,sprti
1623,yg
1624,apk
1625,yg
1626,bumn
1627,gak
1628,beresaplikasi
1629,setujui
1630,barcode
1631,stnk
1632,hilangin
1633,tambahin
1634,rodanya
1635,ga
1636,stnk
1637,nunggu
1638,gak
1639,spbu
1640,gak
1641,serba
1642,customer
1643,cash
1644,persulithanya
1645,menyusahkanganti
1646,samsat
1647,update
1648,barubikin
1649,kede
1650,qr
1651,nya
1652,nunggu
1653,berminggu
1654,minggu
1655,qr
1656,nya
1657,tpi
1658,gunakan
1659,trus
1660,spbu
1661,solosinyatrus
1662,telfon
1663,disuh
1664,ayolah
1665,anda
1666,praturan
1667,malasalah
1668,ataupun
1669,solusinya
1670,pertaminatolong
1671,update
1672,spbu
1673,nya
1674,banyaknya
1675,yg
1676,operasionalnyasusah
1677,dr
1678,mengunakan
1679,nyasaya
1680,membaca
1681,kembalikan
1682,web
1683,yg
1684,claim
1685,barcodesaya
1686,nopol
1687,seminggu
1688,verivikasi
1689,tingkatkan
1690,pelayanannyaaplikasi
1691,aktivasi
1692,linkajaaplikasi
1693,terbarunya
1694,ribet
1695,claim
1696,pasword
1697,nya
1698,gak
1699,tanganya
1700,apapayah
1701,error
1702,terusaplikasi
1703,ribet
1704,ujungnya
1705,lg
1706,noktp
1707,dianggap
1708,melulutidak
1709,perbaiki
1710,segerasudah
1711,pertalite
1712,spbu
1713,yg
1714,bbm
1715,bbmtidak
1716,karna
1717,keterangn
1718,d
1719,spbu
1720,nya
1721,nunggu
1722,ribetdata
1723,pake
1724,bbm
1725,kuotanya
1726,sekaliharus
1727,nya
1728,call
1729,center
1730,nya
1731,lha
1732,call
1733,center
1734,yg
1735,smuasering
1736,khususnya
1737,palembang
1738,boonguntuk
1739,nopol
1740,minggu
1741,trus
1742,masukkan
1743,nopol
1744,mencobaaplikasi
1745,gak
1746,nopol
1747,susahpadahal
1748,bpkb
1749,aslicall
1750,center
1751,hubungiini
1752,gimana
1753,login
1754,nomornya
1755,hadehhaplikasi
1756,gopay
1757,ovo
1758,ga
1759,hubungkanakses
1760,bagusmasih
1761,n
1762,outlet
1763,yg
1764,ga
1765,iniaplikasi
1766,linkaja
1767,tuh
1768,nggak
1769,knp
1770,nggak
1771,hubungkan
1772,ovo
1773,sihterimakasih
1774,terdaftarnya
1775,my
1776,pertamina
1777,bbm
1778,barcotnya
1779,gimana
1780,caranya
1781,moban
1782,dibantudigit
1783,diisi
1784,stnkmasa
1785,ktpstnk
1786,blur
1787,anjgajelas
1788,verivikasi
1789,ga
1790,aplikasinya
1791,yg
1792,gajelas
1793,ga
1794,ga
1795,jelastaiiiii
1796,barkode
1797,haripadahal
1798,udah
1799,bener
1800,direset
1801,tp
1802,disuruh
1803,nunggu
1804,kocakkalo
1805,belom
1806,ber
1807,oprerasi
1808,gausah
1809,jawabanya
1810,macem
1811,yg
1812,gabisa
1813,blom
1814,gimana
1815,jadinya
1816,bengsin
1817,doangbaru
1818,muluterus
1819,udah
1820,namanya
1821,mlumemperbarui
1822,terverifikasi
1823,bangetniat
1824,nggk
1825,sihaplikasi
1826,spbu
1827,pertalite
1828,pake
1829,my
1830,pertamina
1831,alesan
1832,gabisa
1833,mulu
1834,pertamax
1835,payahverifikasi
1836,sekalibukanya
1837,barkodepertamina
1838,yg
1839,klo
1840,d
1841,gk
1842,ngantri
1843,tuh
1844,sebenarny
1845,ny
1846,udh
1847,jd
1848,pegawe
1849,ny
1850,nganggur
1851,gk
1852,gunaverifikasi
1853,lambatt
1854,bug
1855,ngapain
1856,pake
1857,barcode
1858,kususnya
1859,komersialdah
1860,usahaklo
1861,gini
1862,ketauan
1863,pajero
1864,panther
1865,an
1866,terhambatbakal
1867,linkaja
1868,mypertamina
1869,gojek
1870,baikaplikasi
1871,bukanya
1872,merepotkanmau
1873,susahnya
1874,ampunmasuk
1875,link
1876,susahnya
1877,ampuntolong
1878,diperbaikitolong
1879,perbaiki
1880,bugcrash
1881,error
1882,ovo
1883,gopay
1884,terhubung
1885,terhadi
1886,laman
1887,tambahkan
1888,ewallet
1889,lainnya
1890,diperbaikidi
1891,website
1892,barcode
1893,barcode
1894,website
1895,udah
1896,gitu
1897,ga
1898,sinkronpendaftaran
1899,yg
1900,upload
1901,jg
1902,blur
1903,ditolak
1904,solusinya
1905,minsaya
1906,rumh
1907,ktp
1908,gk
1909,mlh
1910,ribet
1911,ktp
1912,nya
1913,mobilmudahcepatpraktisdan
1914,bermanfaatterimakasih
1915,mypertaminasemoga
1916,programnyaaminudh
1917,tpi
1918,trus
1919,pinno
1920,hp
1921,gmna
1922,nyaperbaikin
1923,tu
1924,jgn
1925,maksa
1926,nggak
1927,dlu
1928,yg
1929,senggaknya
1930,awoi
1931,seak
1932,ne
1933,kuyuksangat
1934,gak
1935,pake
1936,udah
1937,up
1938,gak
1939,pake
1940,my
1941,pertamina
1942,nya
1943,apk
1944,nyabagus
1945,spbu
1946,adadaftar
1947,bbm
1948,udah
1949,stnk
1950,persulit
1951,yg
1952,subsidibingung
1953,sistemnya
1954,x
1955,selesaidi
1956,bbm
1957,pertalite
1958,dpt
1959,batasi
1960,bbm
1961,yg
1962,dgn
1963,jauhkalau
1964,blm
1965,dmn
1966,gk
1967,sokn
1968,pake
1969,nyusahin
1970,udh
1971,ngetopup
1972,tp
1973,dmn
1974,spbu
1975,bnyak
1976,yg
1977,gk
1978,aplikasinya
1979,alatnya
1980,dramanyatop
1981,up
1982,pake
1983,link
1984,admin
1985,download
1986,app
1987,mypertamina
1988,krna
1989,charge
1990,lagilebih
1991,gak
1992,apk
1993,biasasaya
1994,kedepan
1995,cashcredit
1996,card
1997,topup
1998,e
1999,money
2000,sebelahaplikasi
2001,tampilan
2002,penggunannya
2003,vouchernya
2004,thanks
2005,mypertaminatidak
2006,stuk
2007,loging
2008,berubah
2009,masukini
2010,udah
2011,nyoba
